item;descripcion;medida;precio
409;Sum E Inst Tubo Ahorrador De 32W  T8 Silvania O Philips;Unidad;10363.36 
410;Sum E Inst Tubo De 40W Silvania Philips O General;Unidad;7829.47 
411;Sum E Inst Tubo De 36W Silvania Philips O General;Unidad;7829.47 
412;Sum E Inst Tubo En U De 30 W Silvania Philips O General;Unidad;35588.48 
413;Sum E Inst Tubo De 15 W Silvania Philips O General;Unidad;9324.18 
414;Sum E Inst Bala De 20 W Con Ahorrador;Unidad;88971.19 
415;Salida Electrica;Unidad;43325.10 
416;Sum E Inst Pilas Para Temporizador Energizer;Unidad;8142.64 
417;Sum E Inst Roseta Corona;Unidad;4951.44 
418;Sum E Inst Varilla Polo A Tierra Coper Well Cobre Cobre;Unidad;206240.34 
419;Sum E Inst Cable # 12 Centelsa;Metro Lineal;12131.03 
420;Sum E Inst Transformador De Aislamiento Polo A Tierra  2 Kva Marca Erco;Unidad;1956496.19 
421;Sum E Inst Encauchetado 3X12 Homologado Centelsa;Metro Lineal;14606.75 
422;Sum E Inst Clavija Trabada 110 V;Unidad;12131.03 
423;Sum E Inst Halogeno Para Reflector;Unidad;29089.71 
424;Sum E Inst Halogeno Para Reflector De 500 W ;Unidad;117596.71 
425;Sum E Inst Taco Pacha 2X30 Amperio General O Legrand ;Unidad;68082.30 
426;Sum E Ins Toma Encauchetada Polo A Tierra Codelca;Unidad;8665.02 
427;Instalación De Tableta En Piso (No Incluye Suministro) Con Pegacord Marca Corona);Metro Cuadrado (m2);43325.10 
428;Instalación De Enchape En Muros (No Incluye Suministro) Con Pegacord Marca Corona);Metro Cuadrado (m2);43325.10 
429;Sum E InstPlaca En Acrilico Y Señalizacion Para Puertas De Baños Tamaño 15X15Cm;Unidad;46822.13 
430;Sum E Inst Cerradura R4 Pomo Bola;Unidad;83610.95 
431;Sum E Inst Pasador Falleba ;Unidad;50166.57 
432;Sum E Inst Cadena Plastica Eslabonada Negra 6 Mt;Unidad;16722.19 
433;Sum Soporte De Pared Para Extintor;Unidad;6131.47 
434;Instalacion Soporte De Pared Para Extintor 2 Puntos Diferentes;Unidad;50166.57 
435;Sum E Inst 4 Postes En Hierro Anclados Al Piso Pintados De 2´. 18 Metros De Cadena Para Realizar Cerramiento Parqueadero. 4 Candados;Unidad;869553.86 
436;Sum Soportes Extintor 10 Lb Con Señalization ;Unidad;50166.57 
437;Sum Escalera Dielectrica De 12 Pasos;Unidad;1053497.95 
438;Reparación Cerradura De Pico De Loro (Incluye Desmonte. Lubricación Y Ajuste De Tornilleria);Unidad;75807.26 
439;Sum E Inst Lamina En Acero Inoxidable;Unidad;89185.01 
440;Sum E Inst Perfil En Aluminio;Metro Lineal;100333.14 
441;Sum E Inst Guaya 2Mm Para Retroiluminado;Unidad;5016.66 
442;Sum E Inst Tapa Para Perfil En Aluminio;Unidad;66888.76 
443;Sum E Inst Señalización Prohibido Parquear De 60  X 60;Unidad;94759.07 
444;Sum Extintor  Solkaflan De 3700 Gr ;Unidad;245258.78 
445;Ajuste Y Lubricacion Ventilador;Unidad;50166.57 
446;Sum Soportes Extintor 10 Lb Con Señalizacion ;Unidad;50166.57 
447;Sum E Inst Platina En Aluminio Pintada Y Remachada Tamaño 5X49 Largo;Unidad;100333.14 
448;Señalizacion De Discapacitados Con Pintura Epoxica  Blanca Y Azul;Unidad;479369.44 
449;Sum E Inst Aviso En Acrilico Area Restringida;Unidad;35674.00 
450;Ajuste De Carcaza Diebold Con Remaches;Unidad;156073.77 
451;Señalizacion Prohibido  Parquear Con Pintura Epoxica  Blanca . Amarillo Y Rojo;Unidad;590850.70 
452;Soldadura Marco Puerta Metalica Con Anclaje Al Piso;Unidad;200666.28 
453;Sum E Inst Cantonera  Anclada Al Marco De La Puerta Con Cambio De Tornilleria;Unidad;50166.57 
454;Sum E Inst Panel Rejilla Calibre 16 Pintado (Incluye Adecuacion Panel);Unidad;390184.43 
455;Sum E Inst Perfileria En Aluminio Para Marco De Pasatulas;Unidad;323295.67 
456;Restauracion Perfileria En Aluminio Para Marco De Pasatulas;Unidad;100333.14 
457;Sum Extintor  Solkaflan De 20 Lb ;Unidad;434776.93 
458;Sum Soportes Extintor 20 Lb Con Señalization ;Unidad;83610.95 
459;Sum Escalera Metalica 5 Pasos ;Unidad;331099.36 
460;Sum E Instalacion 6 Mts De Cadena Plastica Soldada A Las Argollas De Los Postes;Unidad;18951.81 
461;Sum E Instalacion De Cerradura Yale De Seguridad 174 Plus;Unidad;217388.47 
462;Sum Escalera De 10 Pasos Metalica Tipo Tijera;Unidad;724628.22 
463;Sum E Inst Extractor Industrial  De Aire  12´  Siemen 220V;Unidad;880701.99 
464;Desmonte Y Reistalacion De Zocalo (No Incluye Desmonte Ni Reinstalación De Puerta);Unidad;52674.90 
465;Ajuste Con Chazos Expansivos Y Manteminiemto De Extractor De 6 ´;Unidad;61314.70 
466;Sum E Inst Tuberia Emt 1/2 (Con Accesorios);Metro Lineal;17279.60 
467;Sum E Inst Tuberia Emt 3/4 (Con Accesorios);Metro Lineal;20233.85 
468;Sum E Inst Conduleta 5800;Unidad;10033.31 
469;Sum E Inst Conduleta 10 X10;Unidad;14492.56 
470;Sum E Inst Lámpara Led Recargable Portatil;Unidad;178370.02 
471;Bisagra Puerta Site Supervisor Galvanizada;Unidad;25016.40 
472;Caja Mt 5800 103 X 60 X 45;Unidad;31638.38 
473;Lampara Panel Led 20 X 20;Unidad;26978.47 
474;Mantenimiento Preventivo De Ups Hasta  3 Kva;Unidad;289851.29 
475;Instalacion De Ups Hasta  3 Kva;Unidad;222962.53 
476;Alquiler De Ups Hasta  3 Kva Un Mes;Unidad;668887.59 
477;Desconexion . Traslado Y Conexión De Ups Hasta  3 Kva;Unidad;668887.59 
478;Correctivo Ups Hasta  3 Kva;Unidad;289851.29 
479;Cielo Raso Fibra Minera 60 X 60;Unidad;20847.00 
480;Sum E Inst De Muro En Superboard A Dos Caras;Metro Cuadrado (m2);183944.09 
481;Sum E Inst De Muro En Superboard A Dos Caras;Metro Lineal;172795.96 
482;Sum E Inst De Muro En Superboard A Una Cara;Metro Cuadrado (m2);124859.02 
483;Sum E Inst De Muro En Superboard A Una Cara;Metro Lineal;100333.14 
484;Retiro De Vidrios (Puerta);Unidad;98103.51 
485;Visita Tecnica Atm No Asignado (Bogota);Unidad;75523.62 
486;Visita Tecnica Atm No Asignado (Ciudad Principal Barranquilla. Bucaramanga. Medellin Y Cali);Unidad;132166.32 
487;Visita Tecnica Atm No Asignado (Ciudad Alterna Hasta 3 Horas De La Ciudad Principal);Unidad;220277.20 
488;Visita Tecnica Atm No Asignado (Ciudad Alterna Despues De 3 Horas De La Ciudad Principal);Unidad;295800.82 
489;Panel Led Redondo De Incrustar 24 W;Unidad;51504.34 
490;Panel Led Cuadrado 30 X 30;Unidad;61314.70 
491;Panel Led Cuadrado 20 X 20;Unidad;41693.99 
492;Cinta Adhesiva Plateada;Unidad;35022.95 
493;Rejilla Plastica De Ventilacion;Unidad;12753.46 
494;Envíos de distribución de papel ;Según Cotización ; Según Cotización  
495;Suministro de tablón para marchas de orden público;Unidad;237472.55 
496;Instalación tablón para marchas de orden público ;Unidad;113285.91 
542;SERVICIOS POR DEMANDA-VISITA CIUDAD PRINCIPAL;Unidad;37485.29 
543;SERVICIOS POR DEMANDA-VISITA CIUDAD ALTERNA;Unidad;48195.38 
544;SERVICIOS POR DEMANDA-VALOR MANO DE OBRA POR EMERGENCIAS (ATENCIÓN EN MENOS DE 4 HORAS);Unidad;90607.31 
545;SERVICIOS POR DEMANDA-REVISIÓN ELECTRICA;Unidad;54325.83 
546;SERVICIOS POR DEMANDA-PUESTA A PUNTO POR CAJERO (EN UN PULL DE CAJEROS ESTE APLICA PARA CADA CAJERO) LA PUESTA A PUNTO INCLUYE: PINTURA MUROS. PINTURA CIELO RASO. PINTURA FASCIA. ARREGLO DE PUERTA. REVISIÓN CERRADURAS;Unidad;481287.61 
547;SERVICIOS POR DEMANDA-ARREGLO PUERTA CAIDA INCLUYE AJUSTE. NIVELACIÓN (NIVELACIÓN PUERTA CAIDA + GRADUACIÓN BISAGRA HIDRAULICA);Unidad;114638.59 
548;SERVICIOS POR DEMANDA-DESMONTE Y REINSTALACION DE PUERTA PARA REPARACION DEL BLOQUE. PIVOTE.EMPAQUES Y CAMBIO DE BISAGRAS ;Unidad;160651.26 
549;SERVICIOS POR DEMANDA-INSTALACIÓN PUBLICIDAD;Unidad;48195.38 
550;SERVICIOS POR DEMANDA-RETIRO DE PAPELERA Y PUBLICIDAD;Unidad;69615.55 
551;SERVICIOS POR DEMANDA-DESINSTALACION PROTECTOR DE TECLADO;Unidad;37485.29 
552;SERVICIOS POR DEMANDA-INSTALACIÓN PROTECTOR DE TECLADO;Unidad;48195.38 
553;SERVICIOS POR DEMANDA-LIMPIEZA GENERAL SITE SUPERVISOR. LIMPIEZA DE MAQUINAS PAREDES Y EQUIPOS;Unidad;54417.05 
554;SERVICIOS POR DEMANDA-LIMPIEZA GENERAL SITE CLIENTE. LIMPIEZA DE MAQUINAS PAREDES PISOS Y EQUIPOS;Unidad;44982.35 
555;SERVICIOS POR DEMANDA-LIMPIEZA LECTORA CON KIT DE LIMPIEZA;Unidad;26775.21 
556;SERVICIOS POR DEMANDA-APERTURA O CIERRE CAJERO (TIEMPO DE ATENCIÓN 4 HORAS) SI REQUIERE EN MENOR TIEMPO ADICIONAL SE GENERA COBRO POR MANO DE OBRA POR EMERGENCIAS;Unidad;69615.55 
557;SERVICIOS POR DEMANDA-SUM E INST BISAGRA HIDRAULICA SPEEDY;Unidad;728285.71 
558;SERVICIOS POR DEMANDA-SUM E INST BLOQUE;Unidad;128521.01 
559;SERVICIOS POR DEMANDA-GASTOSDE VIAJE DE ACUERDO CON ANEXO 1;Unidad; Según Anexo 
561;FABRICACIÓN E INSTALCIÓN DE PUERTA DE VIDRIO;Unidad; Según Cotización  
562;TARIFA TRANSPORTE SITIOS CON RESTRICCIÓN;DIA;2491.20 
563;AMARRE PLASTICO DE 4' BLANCO X 100 UNIDADES;Paquete;15000.00 
564;BASE ADHESIVA DE 25 X 25 MM BLANCA;Paquete;2100.00 
565;SERVICIOS X DEMANADA - DESINTALACION PUBLICIDAD;Unidad;48195.38 
